22/03/23 15:00
Estadístiques del projecte

               	Segments	Paraules	Caràcters (sense espais)	Caràcters (amb espais)	#Files	
Total:         	   10613	  166551	                  917671	               1054740	   115	
Restants:      	   10099	  161562	                  887994	               1021178	   115	
Únics:         	    9849	  164613	                  901869	               1037976	   114	
Únics restants:	    9591	  160362	                  879531	               1012013	   114	


Estadístiques per fitxer:

Nom de fitxer                                                        	Segments totals	Segments restants	Segments únics	Segments únics restants	Paraules totals	Paraules restants	Paraules úniques	Paraules úniques restants	Caràcters totals (sense espais)	Caràcters restants (sense espais)	Caràcters únics (sense espais)	Caràcters únics restants (sense espais)	Caràcters totals (amb espais)	Caràcters restants (amb espais)	Caràcters únics (amb espais)	Caràcters únics restants (amb espais)	
ch07-00-managing-growing-projects-with-packages-crates-and-modules.md	             23	               23	            23	                     23	            468	              468	             468	                      468	                           2409	                             2409	                          2409	                                   2409	                         2819	                           2819	                        2819	                                 2819	
ch07-01-packages-and-crates.md                                       	             35	               35	            35	                     35	            611	              611	             611	                      611	                           3177	                             3177	                          3177	                                   3177	                         3695	                           3695	                        3695	                                 3695	
ch07-02-defining-modules-to-control-scope-and-privacy.md             	             86	               85	            85	                     85	           1211	             1208	            1208	                     1208	                           6857	                             6827	                          6827	                                   6827	                         7856	                           7825	                        7825	                                 7825	
ch07-03-paths-for-referring-to-an-item-in-the-module-tree.md         	            127	              126	           121	                    120	           2380	             2370	            2362	                     2352	                          13384	                            13336	                         13210	                                  13162	                        15358	                          15300	                       15178	                                15120	
ch07-04-bringing-paths-into-scope-with-the-use-keyword.md            	            111	              108	            99	                     99	           1929	             1920	            1894	                     1894	                          11099	                            11009	                         10748	                                  10748	                        12599	                          12506	                       12236	                                12236	
ch07-05-separating-modules-into-different-files.md                   	             53	               53	            50	                     50	            929	              929	             922	                      922	                           5277	                             5277	                          5200	                                   5200	                         6022	                           6022	                        5942	                                 5942	
ch08-00-common-collections.md                                        	             13	               13	            13	                     13	            217	              217	             217	                      217	                           1128	                             1128	                          1128	                                   1128	                         1314	                           1314	                        1314	                                 1314	
ch08-01-vectors.md                                                   	            104	              104	           104	                    104	           1930	             1930	            1930	                     1930	                           9624	                             9624	                          9624	                                   9624	                        11202	                          11202	                       11202	                                11202	
ch08-02-strings.md                                                   	            170	              170	           170	                    170	           2722	             2722	            2722	                     2722	                          14843	                            14843	                         14843	                                  14843	                        17055	                          17055	                       17055	                                17055	
ch08-03-hash-maps.md                                                 	            104	              104	           102	                    102	           1901	             1901	            1900	                     1900	                           9419	                             9419	                          9401	                                   9401	                        11000	                          11000	                       10981	                                10981	
ch09-00-error-handling.md                                            	             12	               12	            12	                     12	            226	              226	             226	                      226	                           1215	                             1215	                          1215	                                   1215	                         1407	                           1407	                        1407	                                 1407	
ch09-01-unrecoverable-errors-with-panic.md                           	             78	               76	            76	                     76	           1314	             1308	            1308	                     1308	                           6831	                             6771	                          6771	                                   6771	                         7848	                           7786	                        7786	                                 7786	
